supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000005001,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1914.962
imsi-208930000005002,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,8292.981
imsi-208930000005003,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,4396.811
imsi-208930000005004,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2807.696
imsi-208930000005005,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,4677.663
imsi-208930000005006,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,4684.805
imsi-208930000005007,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,3984.236
imsi-208930000005008,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,7220.690
imsi-208930000005009,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1999.665
imsi-208930000005010,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,3393.974
imsi-208930000005011,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2265.294
imsi-208930000005012,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,2194.457
imsi-208930000005013,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3733.810
imsi-208930000005014,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,4160.863
imsi-208930000005015,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1487.975
imsi-208930000005016,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1772.169
imsi-208930000005017,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2072.287
imsi-208930000005018,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,2972.119
imsi-208930000005019,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,2493.963
imsi-208930000005020,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2292.652
imsi-208930000005021,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2725.863
imsi-208930000005022,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,3730.724
imsi-208930000005023,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1833.588
imsi-208930000005024,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,2989.863
imsi-208930000005025,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1549.539
imsi-208930000005026,free5gc-free5gc-amf-amf-b475fd8cb-nm24j,1,1,1,1,0,806.758
