supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000006001,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5402.827
imsi-208930000006002,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3027.518
imsi-208930000006003,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3214.481
imsi-208930000006004,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4804.758
imsi-208930000006005,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6133.328
imsi-208930000006006,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6187.919
imsi-208930000006007,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4275.599
imsi-208930000006008,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2885.048
imsi-208930000006009,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4243.689
imsi-208930000006010,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6675.898
imsi-208930000006011,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5853.522
imsi-208930000006012,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4216.024
imsi-208930000006013,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,7908.354
imsi-208930000006014,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5621.483
imsi-208930000006015,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4553.110
imsi-208930000006016,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3896.254
imsi-208930000006017,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4388.449
imsi-208930000006018,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5956.450
imsi-208930000006019,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5277.555
imsi-208930000006020,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2783.256
imsi-208930000006021,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4310.685
imsi-208930000006022,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5441.162
imsi-208930000006023,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4803.149
imsi-208930000006024,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2726.958
imsi-208930000006025,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5032.280
imsi-208930000006026,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6826.901
imsi-208930000006027,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6058.804
imsi-208930000006028,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5895.952
imsi-208930000006029,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5947.150
imsi-208930000006030,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5106.191
imsi-208930000006031,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5453.307
imsi-208930000006032,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5830.124
imsi-208930000006033,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5491.907
imsi-208930000006034,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4830.175
imsi-208930000006035,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5515.714
imsi-208930000006036,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6033.637
imsi-208930000006037,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4800.414
imsi-208930000006038,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5029.973
imsi-208930000006039,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4763.126
