timestamp,pod,cpu,memory
2026-08-11T19:09:06+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:06+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:06+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:06+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:08+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:08+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:08+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:08+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:11+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:11+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:11+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:11+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:13+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:13+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:13+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:13+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:15+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:15+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:15+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:15+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:17+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,32m,1Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,42m,21Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,42m,15Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,43m,12Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,39m,7Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,2m,10Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,44m,7Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,45m,10Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,44m,10Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,42m,13Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,45m,10Mi
2026-08-11T19:09:17+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:17+08:00,mongodb-0,360m,93Mi
2026-08-11T19:09:17+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:19+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:19+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:19+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:19+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:19+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:22+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:22+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:22+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:22+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:22+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:24+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:24+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:24+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:24+08:00,open5glos-586975cc59-ck6jz,1m,7Mi
2026-08-11T19:09:24+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:26+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:26+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:26+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:26+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:28+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:28+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:28+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:28+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:30+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,30m,0Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,54m,21Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,45m,15Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,44m,13Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,43m,10Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,35m,12Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,37m,7Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,46m,10Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,42m,10Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,68m,14Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,42m,10Mi
2026-08-11T19:09:30+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:30+08:00,mongodb-0,159m,93Mi
2026-08-11T19:09:30+08:00,open5glos-7bb755b95f-bstb4,11m,5Mi
2026-08-11T19:09:32+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,31m,0Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,208m,54Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,112m,21Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,41m,7Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,122m,13Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,43m,7Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,99m,13Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,45m,10Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,184m,17Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,142m,13Mi
2026-08-11T19:09:32+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:32+08:00,mongodb-0,291m,94Mi
2026-08-11T19:09:32+08:00,open5glos-7bb755b95f-bstb4,36m,8Mi
2026-08-11T19:09:35+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,31m,0Mi
2026-08-11T19:09:35+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,208m,54Mi
2026-08-11T19:09:35+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,112m,21Mi
2026-08-11T19:09:35+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T19:09:35+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,41m,7Mi
