supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000007001,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1993.006
imsi-208930000007002,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2125.929
imsi-208930000007003,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1904.175
imsi-208930000007004,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,7643.975
imsi-208930000007005,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2991.973
imsi-208930000007006,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2266.446
imsi-208930000007007,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3265.409
imsi-208930000007008,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2820.317
imsi-208930000007009,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3473.323
imsi-208930000007010,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,10739.098
imsi-208930000007011,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3914.647
imsi-208930000007012,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3656.524
imsi-208930000007013,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3775.701
imsi-208930000007014,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,6123.069
imsi-208930000007015,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3987.061
imsi-208930000007016,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3864.188
imsi-208930000007017,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3153.337
imsi-208930000007018,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2718.778
imsi-208930000007019,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2793.074
imsi-208930000007020,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3370.928
imsi-208930000007021,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2201.989
imsi-208930000007022,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4902.826
imsi-208930000007023,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2728.289
imsi-208930000007024,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5237.191
imsi-208930000007025,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2728.014
imsi-208930000007026,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2772.690
imsi-208930000007027,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3511.878
imsi-208930000007028,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2264.525
imsi-208930000007029,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1831.376
imsi-208930000007030,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2734.036
imsi-208930000007031,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2704.839
imsi-208930000007032,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1568.499
imsi-208930000007033,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3043.577
imsi-208930000007034,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,715.085
imsi-208930000007035,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2641.581
imsi-208930000007036,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3254.336
imsi-208930000007037,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2916.079
imsi-208930000007038,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4843.883
