DA-SACO Parallel Controller started in ACTIVE mode.
Interval: 5 seconds
[2026-08-16T18:38:13+08:00] Starting parallel cycle
[2026-08-16T18:38:13+08:00] Parallel localization failed
[2026-08-16T18:38:21+08:00] Starting parallel cycle
[2026-08-16T18:38:21+08:00] Parallel cycle completed
[2026-08-16T18:38:28+08:00] Starting parallel cycle
[2026-08-16T18:38:28+08:00] Parallel cycle completed
[2026-08-16T18:38:36+08:00] Starting parallel cycle
[2026-08-16T18:38:36+08:00] Parallel cycle completed
[2026-08-16T18:38:43+08:00] Starting parallel cycle
[2026-08-16T18:38:43+08:00] Parallel cycle completed
[2026-08-16T18:38:51+08:00] Starting parallel cycle
[2026-08-16T18:38:51+08:00] Parallel cycle completed
[2026-08-16T18:39:52+08:00] Starting parallel cycle
[2026-08-16T18:39:52+08:00] Parallel cycle completed
[2026-08-16T18:40:00+08:00] Starting parallel cycle
[2026-08-16T18:40:00+08:00] Parallel cycle completed
[2026-08-16T18:40:12+08:00] Starting parallel cycle
[2026-08-16T18:40:12+08:00] Parallel cycle completed
[2026-08-16T18:40:23+08:00] Starting parallel cycle
[2026-08-16T18:40:23+08:00] Parallel cycle completed
[2026-08-16T18:40:34+08:00] Starting parallel cycle
[2026-08-16T18:40:34+08:00] Parallel cycle completed
[2026-08-16T18:40:46+08:00] Starting parallel cycle
[2026-08-16T18:40:46+08:00] Parallel cycle completed
[2026-08-16T18:40:57+08:00] Starting parallel cycle
[2026-08-16T18:40:57+08:00] Parallel cycle completed
[2026-08-16T18:41:08+08:00] Starting parallel cycle
[2026-08-16T18:41:08+08:00] Parallel cycle completed
[2026-08-16T18:41:19+08:00] Starting parallel cycle
[2026-08-16T18:41:19+08:00] Parallel cycle completed
[2026-08-16T18:41:31+08:00] Starting parallel cycle
[2026-08-16T18:41:31+08:00] Parallel cycle completed
[2026-08-16T18:41:42+08:00] Starting parallel cycle
[2026-08-16T18:41:42+08:00] Parallel cycle completed
[2026-08-16T18:41:53+08:00] Starting parallel cycle
[2026-08-16T18:41:53+08:00] Parallel cycle completed
[2026-08-16T18:42:04+08:00] Starting parallel cycle
[2026-08-16T18:42:04+08:00] Parallel cycle completed
[2026-08-16T18:42:15+08:00] Starting parallel cycle
[2026-08-16T18:42:15+08:00] Parallel cycle completed
