NAME                                 READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS   IMAGES                               SELECTOR
dbpython-free5gc-dbpython-dbpython   1/1     1            1           5d5h   dbpython     towards5gs/free5gc-dbpython:latest   app.kubernetes.io/instance=dbpython,app.kubernetes.io/name=free5gc-dbpython,nf=dbpython,project=free5gc
free5gc-free5gc-amf-amf              1/1     1            1           5d5h   amf          free5gc/amf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-amf,nf=amf,project=free5gc
free5gc-free5gc-ausf-ausf            1/1     1            1           5d5h   ausf         free5gc/ausf:v4.2.3                  app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-ausf,nf=ausf,project=free5gc
free5gc-free5gc-chf-chf              1/1     1            1           5d5h   chf          free5gc/chf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-chf,nf=chf,project=free5gc
free5gc-free5gc-nef-nef              1/1     1            1           5d5h   nef          free5gc/nef:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nef,nf=nef,project=free5gc
free5gc-free5gc-nrf-nrf              1/1     1            1           5d5h   nrf          free5gc/nrf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nrf,nf=nrf,project=free5gc
free5gc-free5gc-nssf-nssf            1/1     1            1           5d5h   nssf         free5gc/nssf:v4.2.3                  app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nssf,nf=nssf,project=free5gc
free5gc-free5gc-pcf-pcf              1/1     1            1           5d5h   pcf          free5gc/pcf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-pcf,nf=pcf,project=free5gc
free5gc-free5gc-smf-smf              1/1     1            1           5d5h   smf          free5gc/smf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-smf,nf=smf,project=free5gc
free5gc-free5gc-udm-udm              1/1     1            1           5d5h   udm          free5gc/udm:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-udm,nf=udm,project=free5gc
free5gc-free5gc-udr-udr              1/1     1            1           5d5h   udr          free5gc/udr:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-udr,nf=udr,project=free5gc
free5gc-free5gc-upf-iupf1            0/0     0            0           5d5h   iupf1        free5gc/upf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=iupf1,project=free5gc
free5gc-free5gc-upf-psaupf1          0/0     0            0           5d5h   psaupf1      free5gc/upf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=psaupf1,project=free5gc
free5gc-free5gc-upf-psaupf2          0/0     0            0           5d5h   psaupf2      free5gc/upf:v4.2.3                   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=psaupf2,project=free5gc
free5gc-free5gc-webui-webui          1/1     1            1           5d5h   webui        free5gc/webui:v4.2.3                 app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-webui,nf=webui,project=free5gc
open5glos                            1/1     1            1           5d2h   open5glos    open5glos:dasaco-gnb-runtime         nf=open5glos
ueransim-gnb                         0/0     0            0           5d5h   gnb          free5gc/ueransim:v4.0.1              app=ueransim,app.kubernetes.io/instance=ueransim,app.kubernetes.io/name=ueransim,component=gnb
ueransim-ue                          0/0     0            0           5d5h   ue           free5gc/ueransim:v4.0.1              app=ueransim,app.kubernetes.io/instance=ueransim,app.kubernetes.io/name=ueransim,component=ue
