NAME                                                  READY   STATUS    RESTARTS        AGE    IP             NODE                   NOMINATED NODE   READINESS GATES
dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q   1/1     Running   1 (3d1h ago)    5d5h   10.244.0.13    dasaco-control-plane   <none>           <none>
free5gc-free5gc-amf-amf-7c586cbf7f-nchmz              1/1     Running   0               66s    10.244.0.101   dasaco-control-plane   <none>           <none>
free5gc-free5gc-ausf-ausf-5f7657687b-g7d6n            1/1     Running   0               66s    10.244.0.102   dasaco-control-plane   <none>           <none>
free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq              1/1     Running   1 (3d1h ago)    5d5h   10.244.0.7     dasaco-control-plane   <none>           <none>
free5gc-free5gc-nef-nef-759f694c89-jh7pd              1/1     Running   1 (3d1h ago)    5d5h   10.244.0.10    dasaco-control-plane   <none>           <none>
free5gc-free5gc-nrf-nrf-6c775d444-phh9f               1/1     Running   1 (7h59m ago)   31h    10.244.0.94    dasaco-control-plane   <none>           <none>
free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj            1/1     Running   1 (3d1h ago)    5d5h   10.244.0.11    dasaco-control-plane   <none>           <none>
free5gc-free5gc-pcf-pcf-6b6cbb7f8b-jjkch              1/1     Running   0               65s    10.244.0.105   dasaco-control-plane   <none>           <none>
free5gc-free5gc-smf-smf-7d94c978bf-bzj5s              1/1     Running   1 (3d1h ago)    5d5h   10.244.0.6     dasaco-control-plane   <none>           <none>
free5gc-free5gc-udm-udm-8665bdb57-sx6q4               1/1     Running   0               66s    10.244.0.103   dasaco-control-plane   <none>           <none>
free5gc-free5gc-udr-udr-645b75cb55-jprxs              1/1     Running   0               65s    10.244.0.104   dasaco-control-plane   <none>           <none>
free5gc-free5gc-webui-webui-6785478d49-lwtrb          1/1     Running   4 (7h59m ago)   5d5h   10.244.0.12    dasaco-control-plane   <none>           <none>
mongodb-0                                             1/1     Running   1 (3d1h ago)    5d5h   10.244.0.4     dasaco-control-plane   <none>           <none>
open5glos-bcbdf44cc-6bwc5                             1/1     Running   0               67s    10.244.0.100   dasaco-control-plane   <none>           <none>
