dbpython-free5gc-dbpython-dbpython	dbpython=towards5gs/free5gc-dbpython:latest 
free5gc-free5gc-amf-amf	amf=free5gc/amf:v4.2.3 
free5gc-free5gc-ausf-ausf	ausf=free5gc/ausf:v4.2.3 
free5gc-free5gc-chf-chf	chf=free5gc/chf:v4.2.3 
free5gc-free5gc-nef-nef	nef=free5gc/nef:v4.2.3 
free5gc-free5gc-nrf-nrf	nrf=free5gc/nrf:v4.2.3 
free5gc-free5gc-nssf-nssf	nssf=free5gc/nssf:v4.2.3 
free5gc-free5gc-pcf-pcf	pcf=free5gc/pcf:v4.2.3 
free5gc-free5gc-smf-smf	smf=free5gc/smf:v4.2.3 
free5gc-free5gc-udm-udm	udm=free5gc/udm:v4.2.3 
free5gc-free5gc-udr-udr	udr=free5gc/udr:v4.2.3 
free5gc-free5gc-upf-iupf1	iupf1=free5gc/upf:v4.2.3 
free5gc-free5gc-upf-psaupf1	psaupf1=free5gc/upf:v4.2.3 
free5gc-free5gc-upf-psaupf2	psaupf2=free5gc/upf:v4.2.3 
free5gc-free5gc-webui-webui	webui=free5gc/webui:v4.2.3 
open5glos	open5glos=open5glos:dasaco-gnb-runtime 
ueransim-gnb	gnb=free5gc/ueransim:v4.0.1 
ueransim-ue	ue=free5gc/ueransim:v4.0.1 
