===== SNAPSHOT 2026-08-16T12:35:09.049903588Z =====
===== SNAPSHOT 2026-08-16T12:35:12.250345285Z =====
2026-08-16T12:35:12.631792578Z 2026-08-16T12:35:12.629497574Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721464259Z 2026-08-16T12:35:12.629515098Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018001/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721488013Z 2026-08-16T12:35:12.631083238Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018004/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721493854Z 2026-08-16T12:35:12.649802779Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.929460545Z 2026-08-16T12:35:12.929089850Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018001/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.934450462Z 2026-08-16T12:35:12.934215602Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018004/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.936256858Z 2026-08-16T12:35:12.936025956Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.937811915Z 2026-08-16T12:35:12.936889886Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.948266388Z 2026-08-16T12:35:12.947362032Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.961793793Z 2026-08-16T12:35:12.960648966Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.967529738Z 2026-08-16T12:35:12.967111223Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018006/authentication-data/authentication-subscription |  |
