DA-SACO Parallel Controller started in ACTIVE mode.
Interval: 5 seconds
[2026-08-16T20:43:05+08:00] Starting parallel cycle
[2026-08-16T20:43:05+08:00] Parallel localization failed
[2026-08-16T20:43:12+08:00] Starting parallel cycle
[2026-08-16T20:43:12+08:00] Parallel cycle completed
[2026-08-16T20:43:20+08:00] Starting parallel cycle
[2026-08-16T20:43:20+08:00] Parallel cycle completed
[2026-08-16T20:43:28+08:00] Starting parallel cycle
[2026-08-16T20:43:28+08:00] Parallel cycle completed
[2026-08-16T20:43:35+08:00] Starting parallel cycle
[2026-08-16T20:43:35+08:00] Parallel cycle completed
[2026-08-16T20:44:32+08:00] Starting parallel cycle
[2026-08-16T20:44:32+08:00] Parallel cycle completed
[2026-08-16T20:44:39+08:00] Starting parallel cycle
[2026-08-16T20:44:39+08:00] Parallel cycle completed
[2026-08-16T20:44:51+08:00] Starting parallel cycle
[2026-08-16T20:44:51+08:00] Parallel cycle completed
[2026-08-16T20:45:02+08:00] Starting parallel cycle
[2026-08-16T20:45:02+08:00] Parallel cycle completed
[2026-08-16T20:45:13+08:00] Starting parallel cycle
[2026-08-16T20:45:13+08:00] Parallel cycle completed
[2026-08-16T20:45:24+08:00] Starting parallel cycle
[2026-08-16T20:45:24+08:00] Parallel cycle completed
[2026-08-16T20:45:35+08:00] Starting parallel cycle
[2026-08-16T20:45:35+08:00] Parallel cycle completed
[2026-08-16T20:45:46+08:00] Starting parallel cycle
[2026-08-16T20:45:46+08:00] Parallel cycle completed
[2026-08-16T20:45:57+08:00] Starting parallel cycle
[2026-08-16T20:45:57+08:00] Parallel cycle completed
[2026-08-16T20:46:08+08:00] Starting parallel cycle
[2026-08-16T20:46:08+08:00] Parallel cycle completed
[2026-08-16T20:46:19+08:00] Starting parallel cycle
[2026-08-16T20:46:19+08:00] Parallel cycle completed
[2026-08-16T20:46:30+08:00] Starting parallel cycle
[2026-08-16T20:46:30+08:00] Parallel cycle completed
[2026-08-16T20:46:42+08:00] Starting parallel cycle
[2026-08-16T20:46:42+08:00] Parallel cycle completed
[2026-08-16T20:46:53+08:00] Starting parallel cycle
[2026-08-16T20:46:53+08:00] Parallel cycle completed
[2026-08-16T20:47:04+08:00] Starting parallel cycle
[2026-08-16T20:47:04+08:00] Parallel cycle completed
[2026-08-16T20:47:15+08:00] Starting parallel cycle
