NAME                                  TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)            AGE    SELECTOR
free5gc-free5gc-amf-amf-n2            NodePort    10.96.159.79    <none>        38412:31412/SCTP   5d6h   nf=amf,project=free5gc
free5gc-free5gc-amf-service           ClusterIP   10.96.152.172   <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-amf,nf=amf,project=free5gc
free5gc-free5gc-ausf-service          ClusterIP   10.96.62.255    <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-ausf,nf=ausf,project=free5gc
free5gc-free5gc-chf-service           ClusterIP   10.96.182.136   <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-chf,nf=chf,project=free5gc
free5gc-free5gc-nef-service           ClusterIP   10.96.123.12    <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nef,nf=nef,project=free5gc
free5gc-free5gc-nssf-service          ClusterIP   10.96.50.24     <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nssf,nf=nssf,project=free5gc
free5gc-free5gc-pcf-service           ClusterIP   10.96.231.33    <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-pcf,nf=pcf,project=free5gc
free5gc-free5gc-smf-service           ClusterIP   10.96.169.129   <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-smf,nf=smf,project=free5gc
free5gc-free5gc-udm-service           ClusterIP   10.96.80.142    <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-udm,nf=udm,project=free5gc
free5gc-free5gc-udr-service           ClusterIP   10.96.125.56    <none>        8080/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-udr,nf=udr,project=free5gc
free5gc-free5gc-upf-iupf1-service     ClusterIP   None            <none>        8805/UDP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=iupf1,project=free5gc
free5gc-free5gc-upf-psaupf1-service   ClusterIP   None            <none>        8805/UDP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=psaupf1,project=free5gc
free5gc-free5gc-upf-psaupf2-service   ClusterIP   None            <none>        8805/UDP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-upf,nf=psaupf2,project=free5gc
gnb-service                           ClusterIP   10.96.15.253    <none>        4997/UDP           5d5h   app=ueransim,component=gnb
mongodb                               ClusterIP   10.96.80.90     <none>        27017/TCP          5d6h   app.kubernetes.io/component=mongodb,app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=mongodb
nrf-nnrf                              ClusterIP   10.96.169.214   <none>        8000/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-nrf,nf=nrf,project=free5gc
open5glos                             NodePort    10.96.225.52    <none>        38412:30412/SCTP   5d3h   nf=open5glos
open5glos-control                     ClusterIP   10.96.74.175    <none>        9091/TCP           2d5h   app=free5gc,io.service=open5glos,nf=open5glos
webui-nbiling                         ClusterIP   10.96.27.235    <none>        2122/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-webui,nf=webui,project=free5gc
webui-ncgf                            ClusterIP   10.96.128.12    <none>        2121/TCP           5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-chf,nf=chf,project=free5gc
webui-service                         NodePort    10.96.90.149    <none>        5000:30500/TCP     5d6h   app.kubernetes.io/instance=free5gc,app.kubernetes.io/name=free5gc-webui,nf=webui,project=free5gc
